"town","townID","totpixels","openwater","devopen","devlow","devmed","devhigh","barrenrock","decidforest","evergrnfor","mixedforest","shrubscrub","grassherb","pasturehay","cultcrop","woodywet","emergherbwet","RPopenwater","RPdevopen","RPdevlow","RPdevmed","RPdevhigh","RPbarrenrock","RPdecidforest","RPevergrnfor","RPmixedforest","RPshrubscrub","RPgrassherb","RPpasturehay","RPcultcrop","RPwoodywet","RPemergherbwet","Cforest","Clowdev","Chighdev","Cgrass","CPforest","CPshrubscrub","CPlowdev","CPhighdev","CPgrass","CPemherbwet","CPwoodywet","CPopenwater","nmds2011.1","nmds2011.2"
"HINGHAM",131,65279,870,11655,9732,5460,1579,368,6849,5822,12697,81,1173,274,6,7681,1032,0.01332741,0.178541338,0.149083166,0.083640987,0.024188483,0.005637341,0.104918887,0.089186415,0.194503592,0.001240828,0.017969025,0.004197368,9.19e-05,0.11766418,0.015809066,25368,21387,7039,1447,0.388608894,0.001240828,0.327624504,0.10782947,0.022166393,0.015809066,0.11766418,0.01332741,0.008542091,0.137161106
"QUINCY",243,49828,1353,2336,4876,17437,8504,401,6391,1058,3170,144,299,22,3,1357,2477,0.027153408,0.046881272,0.097856627,0.349943807,0.170667095,0.008047684,0.128261219,0.021233042,0.063618849,0.002889941,0.006000642,0.000441519,6.02e-05,0.027233684,0.049711006,10619,7212,25941,321,0.213113109,0.002889941,0.144737898,0.520610902,0.006442161,0.049711006,0.027233684,0.027153408,0.454320426,0.154488051
"WELLESLEY",317,30305,1143,10375,8050,3534,1195,8,1627,839,2089,9,136,70,2,1197,31,0.037716548,0.342352747,0.265632734,0.11661442,0.039432437,0.000263983,0.05368751,0.0276852,0.068932519,0.000296981,0.004487708,0.00230985,6.6e-05,0.039498433,0.001022934,4555,18425,4729,206,0.15030523,0.000296981,0.607985481,0.156046857,0.006797558,0.001022934,0.039498433,0.037716548,0.028367124,0.545392577
"MARSHFIELD",171,82173,1084,10233,9473,6094,1280,1166,2722,12845,15563,22,1052,443,544,8501,11151,0.013191681,0.124529955,0.115281175,0.074160612,0.015576893,0.014189576,0.033125236,0.156316552,0.18939311,0.000267728,0.012802259,0.005391065,0.006620179,0.103452472,0.135701508,31130,19706,7374,1495,0.378834897,0.000267728,0.23981113,0.089737505,0.018193324,0.135701508,0.103452472,0.013191681,0.045742616,0.075328901
"BROCKTON",44,61928,319,8345,12406,22594,6794,64,5106,287,1802,26,211,434,25,3445,70,0.005151143,0.134753262,0.200329415,0.364843044,0.109708048,0.001033458,0.082450588,0.004634414,0.029098308,0.000419842,0.003407183,0.007008138,0.000403695,0.055629118,0.001130345,7195,20751,29388,645,0.11618331,0.000419842,0.335082677,0.474551092,0.010415321,0.001130345,0.055629118,0.005151143,0.373159072,0.368457716
"HANSON",123,45281,2231,5246,5358,2009,342,97,1622,5962,9164,35,424,310,2425,9509,547,0.049270113,0.115854332,0.118327775,0.044367395,0.007552837,0.002142179,0.035820764,0.131666703,0.202380689,0.000772951,0.009363751,0.006846139,0.053554471,0.209999779,0.012080122,16748,10604,2351,734,0.369868157,0.000772951,0.234182107,0.051920231,0.016209889,0.012080122,0.209999779,0.049270113,-0.089289512,0.141410861
"MASHPEE",172,73650,6936,9765,12056,5383,973,1177,1832,12963,16339,134,778,55,377,2554,2328,0.094175153,0.132586558,0.163693143,0.073088934,0.013211134,0.015980991,0.024874406,0.176008147,0.221846572,0.001819416,0.010563476,0.000746775,0.005118805,0.034677529,0.031608961,31134,21821,6356,833,0.422729124,0.001819416,0.296279701,0.086300068,0.011310251,0.031608961,0.034677529,0.094175153,0.079577227,0.026514275
"FALMOUTH",96,131036,5568,19119,24465,12901,1600,4302,10237,13676,29058,754,2687,436,439,2094,3700,0.04249214,0.145906468,0.186704417,0.09845386,0.012210385,0.032830672,0.078123569,0.104368265,0.221755853,0.005754144,0.020505815,0.00332733,0.003350224,0.015980341,0.028236515,52971,43584,14501,3123,0.404247688,0.005754144,0.332610886,0.110664245,0.023833145,0.028236515,0.015980341,0.04249214,0.107626591,0.054615709
"SCITUATE",264,49836,1128,7050,6641,4661,1005,1039,3459,3228,9724,13,753,112,293,5307,5423,0.02263424,0.141464002,0.133257083,0.093526768,0.020166145,0.020848383,0.069407657,0.064772454,0.195119994,0.000260856,0.015109559,0.002247371,0.005879284,0.106489285,0.108816919,16411,13691,5666,865,0.329300104,0.000260856,0.274721085,0.113692913,0.017356931,0.108816919,0.106489285,0.02263424,0.045778701,0.149081745
"NORTH BROOKFIELD",212,63161,1989,3842,1336,641,116,777,27329,2261,7963,408,1291,7063,107,7328,710,0.031490952,0.060828676,0.021152293,0.010148668,0.001836576,0.012301895,0.432687893,0.035797407,0.126074635,0.006459682,0.020439828,0.111825335,0.001694083,0.116020962,0.011241114,37553,5178,757,8354,0.594559934,0.006459682,0.081980969,0.011985244,0.132265164,0.011241114,0.116020962,0.031490952,-0.167999896,-0.133813932
